mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__body__min_df,param_columntransformer__body__ngram_range,param_logisticregression__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22.62699475288391,0.28147969719833976,5.573706197738647,0.22372872783948922,5,"(1, 1)",2,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 1), 'logisticregression__C': 2}",0.55625,0.5625,0.49375,0.525,0.54375,0.5362499999999999,0.024811791551599,27
22.844257354736328,0.38840421614059417,5.695271587371826,0.2350797524797271,5,"(1, 1)",5,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 1), 'logisticregression__C': 5}",0.53125,0.55625,0.475,0.54375,0.525,0.52625,0.027782638463616092,30
23.439408922195433,0.7479933915066034,5.7667053699493405,0.18273052626567102,5,"(1, 2)",0.1,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 2), 'logisticregression__C': 0.1}",0.5125,0.5375,0.51875,0.6,0.55625,0.5449999999999999,0.03147419578003542,23
22.940072107315064,0.18668535075664894,5.734743356704712,0.21505687509477428,5,"(1, 2)",0.5,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 2), 'logisticregression__C': 0.5}",0.5375,0.5875,0.5125,0.5875,0.55625,0.55625,0.02904737509655565,6
23.256076765060424,0.5026728068877135,5.808653163909912,0.142535691080443,5,"(1, 2)",1,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 2), 'logisticregression__C': 1}",0.55625,0.575,0.50625,0.56875,0.56875,0.555,0.025124689052802223,7
23.99391303062439,0.5769528601775848,5.996996164321899,0.16354862403874287,5,"(1, 2)",2,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 2), 'logisticregression__C': 2}",0.55,0.54375,0.50625,0.56875,0.575,0.5487500000000001,0.024173849507267142,17
24.534211015701295,0.7270942915683685,5.953783941268921,0.21214353864585636,5,"(1, 2)",5,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 2), 'logisticregression__C': 5}",0.53125,0.5375,0.49375,0.5875,0.55625,0.54125,0.030771334062727928,24
23.32876796722412,0.1060678275059085,5.811559343338013,0.21116203376943898,5,"(1, 3)",0.1,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 3), 'logisticregression__C': 0.1}",0.51875,0.5375,0.525,0.6,0.55625,0.5475,0.02920830361386979,21
23.895956468582153,0.3181693071789056,5.954727602005005,0.19450626835511026,5,"(1, 3)",0.5,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 3), 'logisticregression__C': 0.5}",0.54375,0.56875,0.50625,0.59375,0.5625,0.5549999999999999,0.02915475947422651,9
24.15143747329712,0.3831413967878289,6.399970197677613,0.7582546275575617,5,"(1, 3)",1,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 3), 'logisticregression__C': 1}",0.55,0.5625,0.49375,0.575,0.56875,0.55,0.029315098498896415,15
23.868528652191163,0.32414559918103275,5.981453466415405,0.23100028807917622,5,"(1, 3)",2,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 3), 'logisticregression__C': 2}",0.55,0.53125,0.50625,0.575,0.56875,0.5462499999999999,0.02518680209951235,22
24.08800926208496,0.338054254785134,5.721985578536987,0.7192593481017516,5,"(1, 3)",5,"{'columntransformer__body__min_df': 5, 'columntransformer__body__ngram_range': (1, 3), 'logisticregression__C': 5}",0.5125,0.55,0.4875,0.5875,0.55625,0.5387500000000001,0.035000000000000024,25
